SID,SNAME,SAGE,SMRF,SSUB,SMARKS
1,S1,20,M,"S1,S2",75
2,S2,21,F,"S3,S4",
3,S3,22,M,"S1,S2",90
4,S4,23,F,"S3,S4",89
5,S5,22,M,"S1,S2",90
6,S6,21,F,"S3,S4",150
7,S7,23,M,"S1,S2",60
8,S8,,F,"S3,S4",50
9,S9,24,M,"S1,S2",35
10,S10,24,F,"S3,S4",45
11,S11,24,M,"S1,S2",60
12,S12,24,F,"S3,S4",50
13,S13,24,M,"S1,S2",35
14,S14,24,F,"S3,S4",45
15,S15,24,M,"S1,S2",60
16,S16,24,F,"S3,S4",50
17,S17,24,M,"S1,S2",35
18,S18,24,F,"S3,S4",45
19,S19,24,,"S1,S2",60
20,S20,24,F,"S3,S4",50
21,S21,24,M,"S1,S2",35
22,S22,24,F,"S3,S4",45
23,S23,24,F,"S1,S2",45
