TID,TNAME,TAGE,TMRF,TSUB,TSAL,TACTIVE,TDESIG
1,T1,35,M,"S1,S2",10000,y,AP
2,T2,38,F,S3,20000,y,AP
3,T3,40,F,"S2,S3",25000,y,P
4,T4,50,F,"S3,S4",18000,y,POP
5,T5,57,M,"S1,S2,S4",90000,y,
6,T6,50,F,"S2,S3,S4",20000,y,POP
7,T7,45,M,S3,19000,y,AP
8,T8,30,F,"S1,S4",16000,y,AP
9,T9,45,M,"S2,S3,S4",12000,n,P
10,T10,67,F,S3,12000,n,POP
11,T11,80,M,"S1,S4",12000,n,P
12,T12,50,,"S2,S3,S4",12000,n,POP
13,T13,45,M,S3,12000,n,AP
14,T14,78,F,"S1,S4",12000,n,AP
15,T15,90,M,,12000,n,P
16,T16,67,F,S3,12000,n,POP
17,T17,88,M,"S1,S4",12000,n,P
18,T18,8,F,S3,12000,n,POP
19,T19,80,F,"S1,S4",,n,P
